year,area_code,area,identity,pay_type,pay,confidence
2002,00AA,City of London,Female,Hourly,,
2003,00AA,City of London,Female,Hourly,,
2004,00AA,City of London,Female,Hourly,,
2005,00AA,City of London,Female,Hourly,,
2006,00AA,City of London,Female,Hourly,,
2007,00AA,City of London,Female,Hourly,,
2008,00AA,City of London,Female,Hourly,,
2009,00AA,City of London,Female,Hourly,17.56,20
2010,00AA,City of London,Female,Hourly,,
2011,00AA,City of London,Female,Hourly,,
2012,00AA,City of London,Female,Hourly,23.91,
2013,00AA,City of London,Female,Hourly,,
2014,00AA,City of London,Female,Hourly,16.74,
2015,00AA,City of London,Female,Hourly,16.17,
2016,00AA,City of London,Female,Hourly,,
2017,00AA,City of London,Female,Hourly,22.15,
2018,00AA,City of London,Female,Hourly,,
2019,00AA,City of London,Female,Hourly,20.75,
2002,00AB,Barking and Dagenham,Female,Hourly,8.41,5.8
2003,00AB,Barking and Dagenham,Female,Hourly,8.4,5.8
2004,00AB,Barking and Dagenham,Female,Hourly,8.74,6.5
2005,00AB,Barking and Dagenham,Female,Hourly,9.43,6.9
2006,00AB,Barking and Dagenham,Female,Hourly,9.55,6.6
2007,00AB,Barking and Dagenham,Female,Hourly,9.87,9.5
2008,00AB,Barking and Dagenham,Female,Hourly,10.62,7.8
2009,00AB,Barking and Dagenham,Female,Hourly,11.2,6.7
2010,00AB,Barking and Dagenham,Female,Hourly,10.64,6
2011,00AB,Barking and Dagenham,Female,Hourly,10.83,7.2
2012,00AB,Barking and Dagenham,Female,Hourly,11.34,6.6
2013,00AB,Barking and Dagenham,Female,Hourly,11.11,6.3
2014,00AB,Barking and Dagenham,Female,Hourly,10.96,5.7
2015,00AB,Barking and Dagenham,Female,Hourly,10.45,6.3
2016,00AB,Barking and Dagenham,Female,Hourly,11.45,8.7
2017,00AB,Barking and Dagenham,Female,Hourly,10.95,6.5
2018,00AB,Barking and Dagenham,Female,Hourly,11.78,7.2
2019,00AB,Barking and Dagenham,Female,Hourly,11.72,4.6
2002,00AC,Barnet,Female,Hourly,9.5,7.1
2003,00AC,Barnet,Female,Hourly,10.7,7.8
2004,00AC,Barnet,Female,Hourly,11.3,7.3
2005,00AC,Barnet,Female,Hourly,10.3,7.7
2006,00AC,Barnet,Female,Hourly,11.6,7.3
2007,00AC,Barnet,Female,Hourly,11.6,6.5
2008,00AC,Barnet,Female,Hourly,12.68,5.7
2009,00AC,Barnet,Female,Hourly,13.36,6.8
2010,00AC,Barnet,Female,Hourly,13.01,6.3
