year,area_code,area,sports_participation,percentage,population
2005-2006,A,North East,one+,0.329,687000
2007-2008,A,North East,one+,0.348,730300
2008-2009,A,North East,one+,0.354,748600
2009-2010,A,North East,one+,0.358,760100
2010-2011,A,North East,one+,0.335,719300
2011-2012,A,North East,one+,0.36,769000
2012-2013,A,North East,one+,0.352,752900
2013-2014,A,North East,one+,0.34,728500
2014-2015,A,North East,one+,0.331,711100
2015-2016,A,North East,one+,0.327,704800
2005-2006,B,North West,one+,0.341,1879400
2007-2008,B,North West,one+,0.365,2026200
2008-2009,B,North West,one+,0.366,2042800
2009-2010,B,North West,one+,0.364,2037400
2010-2011,B,North West,one+,0.359,2023200
2011-2012,B,North West,one+,0.368,2107800
2012-2013,B,North West,one+,0.365,2096400
2013-2014,B,North West,one+,0.363,2088800
2014-2015,B,North West,one+,0.353,2043300
2015-2016,B,North West,one+,0.357,2073400
2005-2006,D,Yorkshire And The Humber,one+,0.334,1362900
2007-2008,D,Yorkshire And The Humber,one+,0.361,1518100
2008-2009,D,Yorkshire And The Humber,one+,0.346,1469000
2009-2010,D,Yorkshire And The Humber,one+,0.36,1543400
2010-2011,D,Yorkshire And The Humber,one+,0.351,1519500
2011-2012,D,Yorkshire And The Humber,one+,0.368,1580700
2012-2013,D,Yorkshire And The Humber,one+,0.367,1580900
2013-2014,D,Yorkshire And The Humber,one+,0.351,1514400
2014-2015,D,Yorkshire And The Humber,one+,0.341,1478100
2015-2016,D,Yorkshire And The Humber,one+,0.347,1514200
2005-2006,E,East Midlands,one+,0.34,1185600
2007-2008,E,East Midlands,one+,0.36,1289100
2008-2009,E,East Midlands,one+,0.364,1317200
2009-2010,E,East Midlands,one+,0.351,1276000
2010-2011,E,East Midlands,one+,0.342,1251700
2011-2012,E,East Midlands,one+,0.359,1328000
2012-2013,E,East Midlands,one+,0.348,1293400
2013-2014,E,East Midlands,one+,0.348,1302500
2014-2015,E,East Midlands,one+,0.345,1304100
2015-2016,E,East Midlands,one+,0.347,1319400
2005-2006,F,West Midlands,one+,0.322,1387200
2007-2008,F,West Midlands,one+,0.34,1473000
2008-2009,F,West Midlands,one+,0.343,1495500
2009-2010,F,West Midlands,one+,0.337,1473300
2010-2011,F,West Midlands,one+,0.335,1472900
2011-2012,F,West Midlands,one+,0.341,1538500
2012-2013,F,West Midlands,one+,0.339,1540200
