year,area_code,area,population,mean_income,median_income
1999-2000,00AA,City of London,10000,109800,40400
2000-2001,00AA,City of London,10000,137000,65000
2001-2002,00AA,City of London,12000,92900,38300
2002-2003,00AA,City of London,11000,78700,37000
2003-2004,00AA,City of London,10000,85800,39200
2004-2005,00AA,City of London,10000,95600,44400
2005-2006,00AA,City of London,10000,90600,49300
2006-2007,00AA,City of London,10000,99200,49000
2007-2008,00AA,City of London,10000,102000,58500
2009-2010,00AA,City of London,9000,137000,61900
2010-2011,00AA,City of London,8000,127000,61300
2011-2012,00AA,City of London,8000,117000,51600
2012-2013,00AA,City of London,9000,131000,58300
2013-2014,00AA,City of London,9000,151000,65300
2014-2015,00AA,City of London,9000,144000,61100
2015-2016,00AA,City of London,10000,142000,60000
2016-2017,00AA,City of London,12000,157000,57300
2017-2018,00AA,City of London,11000,148000,60000
1999-2000,00AB,Barking and Dagenham,62000,16200,15100
2000-2001,00AB,Barking and Dagenham,71000,18100,15600
2001-2002,00AB,Barking and Dagenham,56000,18600,16200
2002-2003,00AB,Barking and Dagenham,67000,19100,17000
2003-2004,00AB,Barking and Dagenham,67000,18800,17400
2004-2005,00AB,Barking and Dagenham,77000,19400,16600
2005-2006,00AB,Barking and Dagenham,83000,20600,17900
2006-2007,00AB,Barking and Dagenham,77000,20600,17600
2007-2008,00AB,Barking and Dagenham,78000,21300,18600
2009-2010,00AB,Barking and Dagenham,74000,23100,19400
2010-2011,00AB,Barking and Dagenham,69000,22500,19400
2011-2012,00AB,Barking and Dagenham,73000,22800,19600
2012-2013,00AB,Barking and Dagenham,74000,23700,20100
2013-2014,00AB,Barking and Dagenham,77000,24600,21000
2014-2015,00AB,Barking and Dagenham,74000,25500,21800
2015-2016,00AB,Barking and Dagenham,83000,25900,22100
2016-2017,00AB,Barking and Dagenham,88000,26700,23300
2017-2018,00AB,Barking and Dagenham,85000,27400,23900
1999-2000,00AC,Barnet,161000,26800,18700
2000-2001,00AC,Barnet,156000,30800,19400
2001-2002,00AC,Barnet,159000,30400,18700
