station,line,local_authority,zone,opened
Acton Town,District,Ealing,3,1879-07-01
Aldgate,Metropolitan[a],City of London,1,1876-11-18
Aldgate East,Hammersmith & City[d],Tower Hamlets,1,1884-10-06
Alperton,Piccadilly[h],Brent,4,1903-06-28
Amersham,Metropolitan,Chiltern,9,1892-09-01
Angel,Northern,Islington,1,1901-11-17
Archway,Northern,Islington,2 & 3,1907-06-22
Arnos Grove,Piccadilly,Enfield,4,1932-09-19
Arsenal,Piccadilly,Islington,2,1906-12-15
Baker Street,Metropolitan[b],City of Westminster,1,1863-01-10
Balham,Northern,Wandsworth,3,1926-12-06
Bank,Waterloo & City,City of London,1,1898-08-08
Barbican,Metropolitan[b],City of London,1,1865-12-23
Barking,District[j],Barking and Dagenham,4,1902-06-02
Barkingside,Central,Redbridge,4,1948-05-31
Barons Court,District,Hammersmith and Fulham,2,1905-10-09
Bayswater,District[c],City of Westminster,1,1868-10-01
Becontree,District,Barking and Dagenham,5,1932-07-18
Belsize Park,Northern,Camden,2,1907-06-22
Bermondsey,Jubilee,Southwark,2,1999-09-17
Bethnal Green,Central,Tower Hamlets,2,1946-12-04
Blackfriars,District[i],City of London,1,1870-05-30
Blackhorse Road,Victoria,Waltham Forest,3,1968-09-01
Bond Street,Central,City of Westminster,1,1900-09-24
Borough,Northern,Southwark,1,1890-12-18
Boston Manor,Piccadilly[l],Ealing,4,1883-05-01
Bounds Green,Piccadilly,Haringey,3 & 4,1932-09-19
Bow Road,District[j],Tower Hamlets,2,1902-06-11
Brent Cross,Northern,Barnet,3,1923-11-19
Brixton,Victoria,Lambeth,2,1971-07-23
Bromley-by-Bow,District[j],Tower Hamlets,2 & 3,1902-06-02
Buckhurst Hill,Central,Epping Forest,5,1948-11-21
Burnt Oak,Northern,Barnet,4,1924-10-27
Caledonian Road,Piccadilly,Islington,2,1906-12-15
Camden Town,Northern,Camden,2,1907-06-22
Canada Water,Jubilee,Southwark,2,1999-09-17
Canary Wharf,Jubilee,Tower Hamlets,2,1999-09-17
Canning Town,Jubilee,Newham,3,1999-05-14
Cannon Street,District[i],City of London,1,1884-10-06
Canons Park,Jubilee[e],Harrow,5,1932-12-10
Chalfont & Latimer,Metropolitan,Chiltern,8,1889-07-08
Chalk Farm,Northern,Camden,2,1907-06-22
Chancery Lane,Central,City of London,1,1900-07-30
Charing Cross,Bakerloo,City of Westminster,1,1906-03-10
Chesham,Metropolitan,Chiltern,9,1889-07-08
Chigwell,Central,Epping Forest,4,1948-11-21
Chiswick Park,District,Ealing,3,1879-07-01
Chorleywood,Metropolitan,Three Rivers,7,1889-07-08
Clapham Common,Northern,Lambeth,2,1900-06-03
Clapham North,Northern,Lambeth,2,1900-06-03
Clapham South,Northern,Wandsworth,2 & 3,1926-09-13
Cockfosters,Piccadilly,Enfield,5,1933-07-31
Colindale,Northern,Barnet,4,1924-08-18
Colliers Wood,Northern,Merton,3,1926-09-13
Covent Garden,Piccadilly,City of Westminster,1,1907-04-11
Croxley,Metropolitan,Three Rivers,7,1925-11-02
Dagenham East,District,Barking and Dagenham,5,1902-06-02
