date,time,gender,session,medal_ceremony,code,AA,A,B,C,D,E,limit,venue,event
03-Aug,10:00–13:45,M,400m Hurdles: round 1,,AT001,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
03-Aug,10:00–13:45,M,3000m Steeplechase: round 1,,AT001,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
03-Aug,10:00–13:45,M,Hammer: qualifying,,AT001,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
03-Aug,10:00–13:45,M,Shot Put: qualifying,,AT001,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
03-Aug,10:00–13:45,W,100m: classification heats,,AT001,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
03-Aug,10:00–13:45,W,400m: round 1,,AT001,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
03-Aug,10:00–13:45,W,Triple Jump: qualifying,,AT001,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
03-Aug,10:00–13:45,W,Heptathlon: 100m hurdles; high jump,,AT001,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
03-Aug,19:00–21:55,M,1500m: round 1,,AT002,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
03-Aug,19:00–21:55,M,Long Jump: qualifying,,AT002,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
03-Aug,19:00–21:55,M,Shot Put: final,,AT002,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
03-Aug,19:00–21:55,W,100m: round 1,,AT002,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
03-Aug,19:00–21:55,W,10000m: final,,AT002,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
03-Aug,19:00–21:55,W,Discus: qualifying,,AT002,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
03-Aug,19:00–21:55,W,Heptathlon: shot put; 200m,,AT002,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
04-Aug,10:00–13:45,M,100m: classification heats; round 1,,AT003,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
04-Aug,10:00–13:45,M,400m: round 1,,AT003,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
04-Aug,10:00–13:45,W,3000m Steeplechase: round 1,,AT003,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
04-Aug,10:00–13:45,W,Pole Vault: qualifying,,AT003,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
04-Aug,10:00–13:45,W,Heptathlon: long jump; javelin,,AT003,–,150,95,65,40,20,20,Olympic Park - Olympic Stadium,Athletics
04-Aug,18:50–22:05,M,400m Hurdles: semi-finals,,AT004,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
04-Aug,18:50–22:05,M,10000m: final,,AT004,–,450,295,150,95,50,6,Olympic Park - Olympic Stadium,Athletics
